timestamp	bpm	error	reset
17:32:09.130226	0	1	0
17:34:02.091299	0	1	0
17:34:51.999941	121	0	0
18:37:38.756292	0	2	0
19:17:21.581340	0	0	1
19:17:37.979041	0	0	1
19:17:57.090024	0	0	1
19:18:23.360124	0	0	1
19:18:58.112744	69	0	0
19:19:36.493227	0	0	1
19:19:56.810376	0	0	1
22:06:25.894344	66	0	0
22:07:14.058844	66	0	0
22:07:49.575431	0	2	0
22:08:22.473697	65	0	0
22:48:10.890342	0	1	0
22:49:23.645967	83	0	0
23:14:29.764580	0	1	0
23:17:01.299445	0	2	0
23:17:47.212279	0	2	0
23:18:38.062577	73	0	0
23:20:04.449553	55	0	0
23:21:03.274152	70	0	0
23:25:38.198583	97	0	0
23:26:25.394512	79	0	0
00:26:12.104347	0	1	0
00:36:49.189095	0	1	0
01:00:38.031830	72	0	0
01:08:30.169685	74	0	0
01:37:37.912291	86	0	0
01:38:04.189081	79	0	0
01:39:27.455626	94	0	0
01:40:02.140602	50	0	0
01:41:29.843819	55	0	0
01:42:53.644764	0	0	1
01:47:11.903291	69	0	0
01:58:54.970910	79	0	0
02:05:17.975943	0	1	0
02:07:43.456352	86	0	0
02:08:32.536730	95	0	0
11:49:00.398247	121	0	0
11:49:38.864726	121	0	0
11:51:27.032443	70	0	0
11:56:09.828593	70	0	0
11:56:42.503336	121	0	0
12:17:43.116779	121	0	0
12:32:46.879594	121	0	0
13:12:17.122901	121	0	0
13:13:31.868669	70	0	0
13:15:42.501572	121	0	0
13:17:27.378988	70	0	0
13:18:26.987519	121	0	0
13:19:13.514187	121	0	0
13:19:42.816646	70	0	0
13:20:06.749566	70	0	0
14:34:27.193673	70	0	0
14:35:03.766272	121	0	0
14:37:34.464899	121	0	0
14:38:17.899121	70	0	0
14:38:54.408957	121	0	0
14:41:33.581818	121	0	0
14:42:45.416535	70	0	0
14:43:53.802695	70	0	0
14:44:26.868594	121	0	0
14:45:21.020719	70	0	0
14:46:19.445542	121	0	0
14:46:51.178118	121	0	0
14:47:44.624484	121	0	0
14:48:20.773795	121	0	0
14:49:16.776431	121	0	0
14:50:26.961044	121	0	0
14:51:26.544567	121	0	0
14:52:11.856997	121	0	0
14:53:34.861643	121	0	0
15:23:58.268330	121	0	0
15:24:17.081612	70	0	0
15:24:36.136911	121	0	0
15:25:01.264308	70	0	0
15:25:17.057200	70	0	0
17:22:53.841084	0	0	1
17:30:30.773829	0	1	0
17:35:48.410621	82	0	0
17:37:12.209978	0	2	0
17:38:33.355637	83	0	0
17:40:42.261353	77	0	0
17:43:52.100642	87	0	0
17:45:15.784613	58	0	0
17:46:01.258862	56	0	0
17:48:30.981454	96	0	0
17:51:21.943064	81	0	0
17:53:23.514168	77	0	0
17:55:27.898580	90	0	0
17:56:34.923265	64	0	0
17:59:34.889065	83	0	0
17:59:43.288959	0	1	0
18:00:04.622794	0	1	0
18:01:18.655616	68	0	0
18:01:35.527504	0	1	0
18:04:14.955588	0	1	0
18:06:37.423240	0	1	0
18:09:46.855686	75	0	0
18:11:28.855656	59	0	0
18:14:52.123108	40	0	0
18:16:15.189183	59	0	0
18:16:50.723184	0	2	0
18:19:13.315166	78	0	0
18:20:39.189842	89	0	0
18:21:17.523007	0	1	0
18:29:33.122329	0	2	0
18:30:07.130298	0	0	1
18:31:22.688736	68	0	0
18:31:49.288836	0	1	0
18:33:40.322428	62	0	0
18:35:08.122406	99	0	0
18:38:50.122550	50	0	0
18:40:11.255935	76	0	0
18:40:24.488860	0	1	0
18:41:58.222767	68	0	0
18:43:01.689532	85	0	0
18:44:27.756184	52	0	0
18:45:01.361124	0	0	1
18:46:03.622275	63	0	0
18:46:51.389042	73	0	0
18:48:18.555713	50	0	0
18:50:59.488705	48	0	0
18:53:00.989599	56	0	0
18:53:47.788621	0	2	0
18:56:00.989468	79	0	0
18:56:29.488890	0	2	0
18:57:50.189423	70	0	0
18:58:21.055379	0	2	0
18:58:48.322525	0	2	0
18:59:51.189076	83	0	0
19:00:20.022633	0	2	0
